,RECEIPT_ID,PURCHASE_DATE,SCAN_DATE,STORE_NAME,USER_ID,BARCODE,FINAL_QUANTITY,FINAL_SALE,FINAL_QUANTITY_NUMERIC,FINAL_SALE_NUMERIC,PURCHASE_DATE_CT,row_num,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,MANUFACTURER,BRAND,ID,CREATED_DATE,BIRTH_DATE,STATE,LANGUAGE,GENDER,BIRTH_DATE_FIX,CREATED_DATE_CT
10,fb6dfcb8-65a0-4024-9b4a-5091d0af3c72,2024-07-14,2024-07-14 21:11:46.253 Z,LOTTE PLAZA MARKET,5fbd58f1ad6b5e12a114079a,25407803603.0,1.00,1.79,1.0,1.79,2024-07-14 00:00:00.000000,1,,,,,,,5fbd58f1ad6b5e12a114079a,2020-11-24 19:03:13.000000,1962-04-06 00:00:00.000 Z,VA,en,male,1962-04-06 00:00:00.000000,2020-11-24 19:03:13.000000
11,27555547-4d05-43b7-a7ac-d9635e5a065b,2024-09-06,2024-09-06 17:31:34.658 Z,WALMART,6621691d89578edd4a10fb06,28400055093.0,1.00,2.00,1.0,2.0,2024-09-06 00:00:00.000000,1,Snacks,Chips,Potato Chips,,PEPSICO,LAY'S,6621691d89578edd4a10fb06,2024-04-18 18:40:29.000000,1968-09-14 00:00:00.000 Z,OK,en,female,1968-09-14 00:00:00.000000,2024-04-18 18:40:29.000000
12,a713af20-8268-4094-8a41-3521e818bd15,2024-06-15,2024-06-15 12:54:12.582 Z,TARGET,61ca1f591a3acd27c1b18f0b,28400517942.0,1.00,5.19,1.0,5.19,2024-06-15 00:00:00.000000,1,Snacks,Chips,Tortilla Chips,,PEPSICO,TOSTITOS,61ca1f591a3acd27c1b18f0b,2021-12-27 20:17:29.000000,1975-09-25 00:00:00.000 Z,NY,en,male,1975-09-25 00:00:00.000000,2021-12-27 20:17:29.000000
13,79e10b66-d5c5-420d-9f46-7536ab4f5eca,2024-07-23,2024-07-23 13:37:52.396 Z,WALMART,6661ed1e7c0469953bfc76c4,30000566237.0,1.00,8.30,1.0,8.3,2024-07-23 00:00:00.000000,1,Snacks,Snack Bars,Granola Bars,,PEPSICO,QUAKER,6661ed1e7c0469953bfc76c4,2024-06-06 17:08:46.000000,1991-05-02 00:00:00.000 Z,FL,en,female,1991-05-02 00:00:00.000000,2024-06-06 17:08:46.000000
14,d80f7f61-d98f-46d7-be8a-0969971e2b7c,2024-08-16,2024-08-17 08:55:14.932 Z,HY-VEE,5e6d0beb01ecdd13986852e8,30772112526.0,1.00,8.97,1.0,8.97,2024-08-16 00:00:00.000000,1,Health & Wellness,Oral Care,Toothpaste,,PROCTER & GAMBLE,CREST,5e6d0beb01ecdd13986852e8,2020-03-14 16:53:00.000000,1960-05-12 00:00:00.000 Z,IA,en,male,1960-05-12 00:00:00.000000,2020-03-14 16:53:00.000000
15,59df1c4c-ade1-4a77-97eb-e731bec19fed,2024-07-25,2024-07-26 19:50:38.133 Z,WALMART,664794617c0469953bf8932c,33383664002.0,1.00,1.22,1.0,1.22,2024-07-25 00:00:00.000000,1,,,,,,,664794617c0469953bf8932c,2024-05-17 17:31:13.000000,1949-06-09 00:00:00.000 Z,OR,es-419,female,1949-06-09 00:00:00.000000,2024-05-17 17:31:13.000000
16,ac2d2d9b-efa1-4d22-aab2-153b4a0cde18,2024-08-12,2024-08-12 15:30:35.701 Z,WINN-DIXIE,631e23bc198485e89002613b,37000179023.0,1.00,4.69,1.0,4.69,2024-08-12 00:00:00.000000,1,Health & Wellness,Menstrual Care,Menstrual Care Pads,,PROCTER & GAMBLE,ALWAYS,631e23bc198485e89002613b,2022-09-11 18:06:52.000000,1976-01-29 06:00:00.000 Z,AL,en,female,1976-01-29 06:00:00.000000,2022-09-11 18:06:52.000000
17,00ad12b5-a990-4f56-b7d8-78a506c36529,2024-08-18,2024-08-18 16:22:58.531 Z,7-ELEVEN,610a8541ca1fab5b417b5d33,40000001607.0,1.00,2.39,1.0,2.39,2024-08-18 00:00:00.000000,1,Snacks,Candy,Confection Candy,,MARS WRIGLEY,SKITTLES,610a8541ca1fab5b417b5d33,2021-08-04 12:17:05.000000,1977-01-12 00:00:00.000 Z,NY,en,male,1977-01-12 00:00:00.000000,2021-08-04 12:17:05.000000
18,47c724c5-680f-450d-a617-e36514fff06e,2024-07-18,2024-07-19 18:36:31.512 Z,H-E-B,64ce5d823cb069b5eac9b700,41220078400.0,1.00,2.97,1.0,2.97,2024-07-18 00:00:00.000000,1,Snacks,Pretzels,Traditional Pretzels,,TOPCO ASSOCIATES LLC,FOOD CLUB,64ce5d823cb069b5eac9b700,2023-08-05 14:32:34.000000,1957-04-02 15:32:36.000 Z,TX,en,male,1957-04-02 15:32:36.000000,2023-08-05 14:32:34.000000
19,019520fd-f28b-42ff-a29e-d6bf4f5c4b7c,2024-08-19,2024-08-19 11:19:59.681 Z,MEIJER,646bdaa67a342372c857b958,41250087700.0,1.00,2.49,1.0,2.49,2024-08-19 00:00:00.000000,1,Snacks,Snack Cakes,Rice Treats,,MEIJER,MEIJER,646bdaa67a342372c857b958,2023-05-22 21:12:06.000000,1981-03-23 00:00:00.000 Z,WI,en,female,1981-03-23 00:00:00.000000,2023-05-22 21:12:06.000000
