,RECEIPT_ID,PURCHASE_DATE,SCAN_DATE,STORE_NAME,USER_ID,BARCODE,FINAL_QUANTITY,FINAL_SALE,FINAL_QUANTITY_NUMERIC,FINAL_SALE_NUMERIC,PURCHASE_DATE_CT,row_num,ID,CREATED_DATE,BIRTH_DATE,STATE,LANGUAGE,GENDER,BIRTH_DATE_FIX,CREATED_DATE_CT,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,MANUFACTURER,BRAND
40,ebd45725-2679-463e-b020-18a8f06aca2f,2024-06-19,2024-06-19 19:53:06.038 Z,TARGET,64e91e01ca929250373eea1a,3424005.0,1.00,1.39,1.0,1.39,2024-06-19 00:00:00.000000,1,,,,,,,,,Snacks,Candy,Chocolate Candy,,THE HERSHEY COMPANY,HERSHEY'S
41,9dba5908-9337-45f2-bc8d-6e823d86d07d,2024-07-28,2024-07-28 18:43:14.909 Z,WALGREENS,5d97f4ae1750dd776dc28fb3,3424607.0,1.00,1.00,1.0,1.0,2024-07-28 00:00:00.000000,1,,,,,,,,,Snacks,Candy,Chocolate Candy,,THE HERSHEY COMPANY,KIT KAT
42,fa608ff6-5704-4156-aa6a-e6106e1a479a,2024-07-13,2024-07-15 07:43:07.761 Z,TARGET,5fa1f5c38c5b8a167b47b9a1,3444009.0,1.00,1.39,1.0,1.39,2024-07-13 00:00:00.000000,1,,,,,,,,,Snacks,Candy,Chocolate Candy,,THE HERSHEY COMPANY,REESE'S
43,2008d818-c92d-45e8-b836-2065fab8d57d,2024-07-21,2024-07-21 18:42:28.619 Z,FOOD LION,5eaf02ff257eb1143962f93e,3447109.0,1.00,2.49,1.0,2.49,2024-07-21 00:00:00.000000,1,,,,,,,,,Snacks,Candy,Chocolate Candy,,THE HERSHEY COMPANY,HERSHEY'S
44,9a5692b9-8ad4-4f37-a12c-7d1879b48fdc,2024-09-04,2024-09-05 10:13:06.339 Z,TARGET,61eade1bba8f9708ae5a4d2f,3448005.0,1.00,1.99,1.0,1.99,2024-09-04 00:00:00.000000,1,,,,,,,,,Snacks,Candy,Chocolate Candy,,THE HERSHEY COMPANY,REESE'S
45,02922e45-3064-4bc1-8853-936c1a920b5d,2024-06-22,2024-06-23 17:05:16.139 Z,TARGET,63c717b13d310dceeacb1c4b,3484308.0,1.00,4.29,1.0,4.29,2024-06-22 00:00:00.000000,1,,,,,,,,,Snacks,Candy,Gum,,THE HERSHEY COMPANY,ICE BREAKERS
46,4aac09ad-cd66-41f0-beb6-d235d52f1ba1,2024-06-24,2024-06-28 19:30:21.201 Z,COSTCO,63482b03be624cdd891555be,3731284.0,1.00,43.79,1.0,43.79,2024-06-24 00:00:00.000000,1,,,,,,,,,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,,
47,d5f139a8-6b65-41b6-ac15-de6ef4e4ec5a,2024-07-07,2024-07-07 10:21:41.861 Z,FAMILY FARE SUPERMARKETS,62d188de2cfb4591e3bae97f,3785652.0,1.00,5.29,1.0,5.29,2024-07-07 00:00:00.000000,1,,,,,,,,,,,,,,
48,6735770b-d8b6-4a09-804b-6ede07211d89,2024-09-03,2024-09-04 09:42:33.131 Z,COSTCO,5c62145dba25631369c28f32,3834565.0,1.00,6.79,1.0,6.79,2024-09-03 00:00:00.000000,1,,,,,,,,,,,,,,
49,fa8217df-db29-41e7-9898-6440054dc58e,2024-07-31,2024-07-31 16:29:55.583 Z,COSTCO,5fab0e348fc29912632809ff,3847329.0,1.00,8.39,1.0,8.39,2024-07-31 00:00:00.000000,1,,,,,,,,,,,,,,
